"Competition Name","Season","Match Date","Home Team","Away Team","    ","Score Home","Score Away","    ","Score Home HT","Score Away HT","    ","Odds Home", "Odds Away"
"Top 14","2013/14","25.01.2014 11:30","Grenoble FC","Usap Perpignan","","25","19","","10","3","","0.25","3.0"
"Top 14","2013/14","25.01.2014 11:30","Montpellier Herault RC","Bordeaux Begles","","28","23","","14","6","","0.1","6.0"
"Top 14","2013/14","25.01.2014 07:55","Racing 92","Stade Toulousain","","25","5","","18","0","","0.444444444444","1.8"
"Top 14","2013/14","24.01.2014 13:45","Stade Francais","Castres Olympique","","32","6","","12","6","","0.333333333333","2.5"
"Top 14","2013/14","05.01.2014 13:45","Stade Toulousain","Clermont","","19","12","","13","9","","0.333333333333","2.4"
"Top 14","2013/14","04.01.2014 13:35","Brive","Montpellier Herault RC","","15","9","","12","6","","0.545454545455","1.5"
"Top 14","2013/14","04.01.2014 11:30","Biarritz","Stade Francais","","6","18","","6","5","","1.0","0.8"
"Top 14","2013/14","04.01.2014 11:30","Union Sportive Oyonnax","Racing 92","","6","0","","3","0","","0.714285714286","1.1"
"Top 14","2013/14","04.01.2014 11:30","Usap Perpignan","Bayonne","","20","8","","10","3","","0.125","4.5"
"Top 14","2013/14","04.01.2014 07:55","Toulon","Grenoble FC","","21","22","","9","12","","0.0","16.0"
"Top 14","2013/14","03.01.2014 13:45","Castres Olympique","Bordeaux Begles","","15","9","","6","6","","0.0909090909091","7.5"
"Top 14","2013/14","29.12.2013 14:00","Racing 92","Toulon","","14","3","","6","3","","0.714285714286","1.1"
"Top 14","2013/14","29.12.2013 12:00","Bayonne","Stade Toulousain","","21","13","","8","13","","0.8","1.0"
"Top 14","2013/14","29.12.2013 12:00","Bordeaux Begles","Brive","","27","23","","8","13","","0.8","1.0"
"Top 14","2013/14","29.12.2013 10:00","Clermont","Union Sportive Oyonnax","","33","19","","20","3","","None","25.0"
"Top 14","2013/14","29.12.2013 10:00","Grenoble FC","Castres Olympique","","20","16","","10","9","","0.333333333333","2.4"
"Top 14","2013/14","29.12.2013 10:00","Montpellier Herault RC","Biarritz","","48","22","","27","10","","0.0","16.0"
"Top 14","2013/14","29.12.2013 08:00","Stade Francais","Usap Perpignan","","19","12","","10","3","","0.0909090909091","7.5"
"Top 14","2013/14","21.12.2013 13:35","Stade Toulousain","Bordeaux Begles","","18","16","","12","13","","0.0","10.0"
"Top 14","2013/14","21.12.2013 11:30","Brive","Racing 92","","9","9","","3","3","","0.545454545455","1.5"
"Top 14","2013/14","21.12.2013 11:30","Castres Olympique","Usap Perpignan","","37","13","","20","6","","0.1","6.0"
"Top 14","2013/14","21.12.2013 11:30","Clermont","Biarritz","","35","6","","6","3","","None","20.0"
"Top 14","2013/14","21.12.2013 11:30","Union Sportive Oyonnax","Bayonne","","9","6","","6","0","","0.25","3.0"
"Top 14","2013/14","21.12.2013 07:55","Toulon","Montpellier Herault RC","","43","10","","19","3","","0.1","6.0"
"Top 14","2013/14","20.12.2013 13:45","Stade Francais","Grenoble FC","","21","6","","8","3","","0.1","6.0"
"Top 14","2013/14","30.11.2013 13:35","Grenoble FC","Stade Toulousain","","25","18","","6","3","","0.363636363636","2.2"
"Top 14","2013/14","30.11.2013 11:30","Biarritz","Bordeaux Begles","","15","22","","7","3","","0.333333333333","2.4"
"Top 14","2013/14","30.11.2013 11:30","Castres Olympique","Bayonne","","46","16","","13","6","","0.0909090909091","7.5"
"Top 14","2013/14","30.11.2013 11:30","Racing 92","Montpellier Herault RC","","17","12","","3","9","","0.363636363636","2.2"
"Top 14","2013/14","30.11.2013 11:30","Union Sportive Oyonnax","Brive","","26","9","","15","9","","0.5","1.625"
"Top 14","2013/14","30.11.2013 07:55","Stade Francais","Toulon","","23","0","","3","0","","0.5","1.625"
"Top 14","2013/14","29.11.2013 13:45","Usap Perpignan","Clermont","","23","30","","16","10","","0.4","2.0"
"Top 14","2013/14","23.11.2013 07:30","Clermont","Racing 92","","47","14","","23","0","","0.111111111111","5.5"
"Top 14","2013/14","23.11.2013 07:15","Bayonne","Grenoble FC","","24","21","","9","11","","0.285714285714","2.75"
"Top 14","2013/14","23.11.2013 07:15","Bordeaux Begles","Stade Francais","","45","23","","33","13","","0.363636363636","2.2"
"Top 14","2013/14","23.11.2013 07:15","Brive","Biarritz","","9","14","","3","5","","0.0909090909091","6.5"
"Top 14","2013/14","23.11.2013 07:15","Montpellier Herault RC","Castres Olympique","","16","20","","10","9","","0.166666666667","4.0"
"Top 14","2013/14","23.11.2013 07:15","Stade Toulousain","Union Sportive Oyonnax","","14","3","","9","3","","0.0","12.0"
